TOA5	ESOLMET-CR1000	CR1000	23644	CR1000.Std.16	CPU:2021-05-21-ESOLMET-CR1000.CR1	25840	Tabla_diez_min													
TIMESTAMP	RECORD	Batt_Volt_Min	I_glo_Avg	I_dir_Avg	I_dif_Avg	AirTC_Avg	AirTC_Max	AirTC_Min	AirTC_Std	RH_Avg	RH_Max	RH_Min	RH_Std	WS_ms_Avg	WS_ms_Max	WS_ms_Min	WS_ms_Std	WindDir	CS106_PB_Avg	Rain_mm_Tot
TS	RN	Volts	W/m2	W/m2	W/m2	°C	°C	°C	°C	%	%	%	%	m/s	m/s	m/s	m/s	grados	mbar	mm
		Min	Avg	Avg	Avg	Avg	Max	Min	Std	Avg	Max	Min	Std	Avg	Max	Min	Std	Smp	Avg	Tot
04/02/2022 15:10	37320	13.12	733.4	949	53.81	29.87	30.28	29.43	0.25	23.76	24.7	22.59	0.47	1.734	4.7	0	1.016	152.1	876.552	0
04/02/2022 15:20	37321	13.11	709.4	946	53.07	29.62	30.18	28.98	0.306	24.25	26.44	21.05	1.573	2.384	5.45	0	1.333	73.72	876.4539	0
04/02/2022 15:30	37322	13.1	685.7	946	52.12	29.38	29.83	28.92	0.241	24.42	26.95	21.02	1.037	3.735	6.95	0.95	1.137	90.9	876.4044	0
04/02/2022 15:40	37323	13.1	645.9	927	51.68	29.2	30.11	28.78	0.327	24.18	25.21	22.93	0.404	1.364	3.95	0	1.074	121.5	876.2992	0
04/02/2022 15:50	37324	13.1	609.1	908	51.54	30.02	30.31	29.73	0.14	22.39	23.51	21.29	0.357	2.803	6.2	0	1.305	171	876.2901	0
04/02/2022 16:00	37325	13.1	578.1	899	51.55	29.67	30.18	29.29	0.23	22.4	23.3	21.63	0.297	2.735	5.45	0	1.402	219.4	876.2078	0
04/02/2022 16:10	37326	13.1	533.2	868	51.63	29.73	30.04	29.53	0.098	21.95	22.59	21.39	0.239	1.625	5.45	0	1.147	250.4	875.9228	0
04/02/2022 16:20	37327	13.1	491.1	839	52.1	30.45	30.86	29.83	0.271	21.87	23.88	20.58	0.817	1.25	3.95	0	0.965	78.41	876.1508	0
04/02/2022 16:30	37328	13.1	454.2	813	52.06	30.34	30.58	30.11	0.103	24.85	25.72	23.74	0.397	2.043	4.7	0	0.891	182.7	876.0204	0
04/02/2022 16:40	37329	13.1	414.1	783.5	51.53	29.37	30.41	28.71	0.492	25.6	26.84	24.32	0.58	2.979	6.2	0.95	1.02	226.2	875.9885	0
04/02/2022 16:50	37330	13.1	370.9	761.5	49	29.75	30.11	29.15	0.205	24.44	25.96	23.68	0.619	0.928	3.95	0	1	99.4	875.9792	0
04/02/2022 17:00	37331	13.11	329.1	731.1	46.5	30.03	30.28	29.73	0.118	24.01	24.63	23.3	0.226	1.63	4.7	0	1.056	111.9	876.0121	0
04/02/2022 17:10	37332	13.11	288.7	695.1	44.64	29.6	30.11	28.88	0.377	24.32	25.17	23.68	0.367	2.019	3.95	0	0.653	64.68	876.0698	0
04/02/2022 17:20	37333	13.05	248.2	660.4	42.73	29.04	29.77	28.61	0.301	25.06	25.82	23.81	0.333	1.652	3.2	0	0.715	109.4	875.9885	0
04/02/2022 17:30	37334	12.98	209.2	619.3	40.48	29.92	30.41	29.49	0.275	24.27	25.17	23.34	0.402	1.35	3.95	0	0.866	222.2	876.2488	0
04/02/2022 17:40	37335	12.93	168.5	560.8	36.66	29.95	30.24	29.67	0.162	24.35	25.07	23.64	0.412	1.352	3.2	0	0.803	119.3	876.1486	0
04/02/2022 17:50	37336	12.9	133.5	505.2	32.74	29.39	29.94	28.85	0.309	25.86	26.81	24.66	0.565	2.752	5.45	0	1.103	167.4	876.2917	0
04/02/2022 18:00	37337	12.88	93.9	417	27.47	29.09	29.33	28.85	0.113	26.29	26.78	25.69	0.222	1.915	4.7	0	0.676	167.4	876.1332	0
04/02/2022 18:10	37338	12.87	57.66	297.8	21	28.61	28.99	28.34	0.172	27.08	27.87	26.23	0.42	2.412	4.7	0	0.691	189.1	876.1202	0
04/02/2022 18:20	37339	12.86	21.62	78.23	12.7	28.16	28.48	27.83	0.148	27.57	28	27.02	0.198	2.033	3.2	0	0.626	183	876.2798	0
04/02/2022 18:30	37340	12.86	7.202	0.524	5.332	27.76	28	27.56	0.092	27.8	28.52	27.15	0.288	1.304	2.45	0	0.724	137.8	876.4249	0
04/02/2022 18:40	37341	12.85	0.622	0	0.208	27.45	27.69	27.29	0.086	28.51	28.89	28.07	0.165	0.336	1.7	0	0.503	145.6	876.291	0
04/02/2022 18:50	37342	12.84	0	0	0	27.07	27.42	26.61	0.2	29.45	30.97	28.45	0.659	0	0	0	0	145.7	876.571	0
04/02/2022 19:00	37343	12.83	0	0	0	26.27	26.71	25.93	0.211	31.48	32.06	30.63	0.246	0	0	0	0	351.1	876.4556	0
04/02/2022 19:10	37344	12.83	0	0.008	0	25.68	26.06	25.29	0.201	33.15	35.13	31.72	0.646	1.073	2.45	0	0.677	344	876.3801	0
04/02/2022 19:20	37345	12.82	0	0.009	0	24.89	25.49	24.43	0.304	34.09	35.61	32.37	0.741	2.138	3.2	0.95	0.377	339.1	876.4455	0
04/02/2022 19:30	37346	12.82	0	0	0	24.02	24.61	23.55	0.269	36.18	36.83	34.72	0.423	2.48	3.95	1.7	0.374	350.5	876.8474	0
04/02/2022 19:40	37347	12.82	0	0.005	0	23.6	23.75	23.45	0.058	36.54	37.14	35.95	0.242	2.928	3.95	1.7	0.511	333	876.8915	0
04/02/2022 19:50	37348	12.81	0	0.009	0	23.47	23.59	23.28	0.045	36.43	37.18	35.61	0.371	2.75	3.95	0.95	0.544	325.4	876.9014	0
04/02/2022 20:00	37349	12.81	0	0.005	0	23.37	23.59	23.18	0.086	36.06	36.5	35.61	0.17	2.152	3.95	0	0.703	341.5	876.9354	0
04/02/2022 20:10	37350	12.81	0	0.001	0	23.11	23.35	22.8	0.136	36.57	37.45	35.95	0.371	1.783	3.2	0	0.641	333.6	877.2836	0
04/02/2022 20:20	37351	12.8	0	0.003	0	22.77	22.94	22.63	0.065	37.17	37.79	36.84	0.168	1.575	3.2	0	0.611	354.4	877.3296	0
04/02/2022 20:30	37352	12.8	0	0.001	0	22.61	22.8	22.43	0.066	37.57	37.86	37.18	0.139	0.311	2.45	0	0.563	302	877.4949	0
04/02/2022 20:40	37353	12.79	0	0.008	0	22.56	22.67	22.36	0.055	37.44	38.1	36.84	0.271	0.706	2.45	0	0.706	0.194	877.579	0
04/02/2022 20:50	37354	12.79	0	0	0	22.23	22.53	21.95	0.157	38.45	39.8	37.79	0.453	0.315	1.7	0	0.459	325.5	877.7195	0
04/02/2022 21:00	37355	12.79	0	0.01	0	22.01	22.19	21.85	0.047	38.63	39.43	38.06	0.267	0.801	1.7	0	0.514	0.194	877.9878	0
04/02/2022 21:10	37356	12.78	0	0.086	0	21.76	22.09	21.41	0.18	39.88	42.49	38.51	0.848	1.653	3.2	0	0.615	284.8	878.0543	0
04/02/2022 21:20	37357	12.78	0	0.101	0	21.9	22.05	21.75	0.07	38.77	39.46	38.17	0.255	1.983	3.95	0.95	0.688	323.4	878.0056	0
04/02/2022 21:30	37358	12.78	0	0.012	0	21.73	21.92	21.41	0.13	39.29	40.21	38.61	0.45	1.592	2.45	0	0.496	343.2	878.0953	0
04/02/2022 21:40	37359	12.77	0	0.005	0	21.44	21.78	21	0.226	40.39	41.81	39.22	0.912	1.362	3.2	0	0.515	340.5	878.3564	0
04/02/2022 21:50	37360	12.76	0	0.031	0	21.39	21.65	21.03	0.15	40.63	42.19	39.8	0.56	1.694	2.45	0.95	0.295	352.4	878.2997	0
04/02/2022 22:00	37361	12.76	0	0.11	0	21.13	21.71	20.79	0.243	41.91	43.04	40.31	0.803	1.755	2.45	0	0.462	316.2	878.3479	0
04/02/2022 22:10	37362	12.76	0	0.009	0	21.37	21.75	20.96	0.214	41.45	42.46	40.28	0.645	0.404	1.7	0	0.476	216.8	878.6024	0
04/02/2022 22:20	37363	12.75	0	0.01	0	21.37	21.54	21.03	0.112	40.96	41.68	40.42	0.338	0.044	0.95	0	0.2	141.2	878.8482	0
04/02/2022 22:30	37364	12.75	0	0.003	0	21.18	21.54	20.86	0.149	42.08	43.41	41.2	0.443	0.066	1.7	0	0.246	19.4	878.8805	0
04/02/2022 22:40	37365	12.75	0	0.028	0	20.69	21.07	20.35	0.151	44.04	45.12	42.84	0.463	1.12	2.45	0	0.598	354.5	879.0109	0
04/02/2022 22:50	37366	12.74	0	0.092	0	20.61	20.79	20.39	0.082	44.52	46.38	43.04	0.811	1.357	2.45	0	0.461	354.1	879.0928	0
04/02/2022 23:00	37367	12.74	0	0.005	0	20.4	20.69	20.18	0.104	45.96	47.09	44.64	0.505	0.747	2.45	0	0.798	13.74	879.085	0
04/02/2022 23:10	37368	12.73	0	0.046	0	20.68	20.83	20.49	0.06	44.91	46.31	43.93	0.593	0.519	1.7	0	0.644	341.9	879.1493	0
04/02/2022 23:20	37369	12.73	0	0.205	0	20.59	20.83	20.42	0.076	45.55	46.75	43.65	0.721	1.097	2.45	0	0.676	354.5	879.3305	0
04/02/2022 23:30	37370	12.73	0	0.291	0	20.87	21.44	20.42	0.303	43.97	46.35	42.02	1.081	1.43	2.45	0	0.611	298.5	879.6085	0
04/02/2022 23:40	37371	12.72	0	0.05	0	21.54	21.82	21.17	0.145	42.17	43.04	41	0.462	0.465	1.7	0	0.662	339	879.747	0
04/02/2022 23:50	37372	12.72	0	0.152	0	21.36	21.68	20.93	0.18	43.07	45.46	41.61	0.839	1.898	3.2	0.95	0.492	10.89	879.6398	0
05/02/2022 00:00	37373	12.71	0	0.107	0	21.28	21.68	20.86	0.234	42.57	45.43	40.42	1.294	1.697	3.2	0	0.561	352.4	879.6822	0
05/02/2022 00:10	37374	12.71	0	0.063	0	21.65	21.88	21.2	0.15	40.2	42.12	39.02	0.793	1.299	3.2	0	0.629	330.2	879.5502	0
05/02/2022 00:20	37375	12.71	0	0.003	0	21.12	21.44	20.86	0.142	42.02	43.11	40.65	0.581	1.538	3.2	0	0.492	353.6	879.6904	0
05/02/2022 00:30	37376	12.7	0	0.11	0	21.2	21.44	21	0.087	41.77	42.49	41.17	0.239	1.758	3.2	0	0.665	353	879.5826	0
05/02/2022 00:40	37377	12.7	0	0.002	0	21.28	21.44	21.1	0.058	42	42.77	41.37	0.318	0.674	2.45	0	0.626	26.76	879.4119	0
05/02/2022 00:50	37378	12.7	0	0.028	0	21.32	21.48	21.1	0.074	41.69	42.6	40.86	0.426	0.901	2.45	0	0.599	13.11	879.6904	0
05/02/2022 01:00	37379	12.69	0	0	0	21.07	21.37	20.83	0.124	42.99	43.99	42.09	0.53	0.003	0.95	0	0.055	22.4	879.7871	0
05/02/2022 01:10	37380	12.69	0	0.081	0	20.92	21.07	20.76	0.059	44.02	45.15	42.84	0.743	0.584	2.45	0	0.61	37.07	879.7067	0
05/02/2022 01:20	37381	12.69	0	0.005	0	20.7	21.07	20.49	0.098	45.82	46.28	44.95	0.313	0.032	0.95	0	0.171	60.34	879.657	0
05/02/2022 01:30	37382	12.69	0	0.001	0	20.15	20.83	19.5	0.39	47.39	49.07	45.36	0.936	0.684	1.7	0	0.73	351.9	879.7882	0
05/02/2022 01:40	37383	12.68	0	0.004	0	19.38	19.7	19.23	0.074	49.45	50.2	48.8	0.253	1.656	2.45	0.95	0.364	354.5	879.476	0
05/02/2022 01:50	37384	12.68	0	0.001	0	19.05	19.36	18.82	0.1	50.54	51.46	49.82	0.335	2.229	3.2	1.7	0.391	354.5	879.5181	0
05/02/2022 02:00	37385	12.68	0	0.107	0	19.24	19.46	18.95	0.118	49.75	51.01	48.9	0.484	2.109	2.45	1.7	0.373	341.6	879.3464	0
05/02/2022 02:10	37386	12.67	0	0.01	0	18.93	19.16	18.65	0.084	51.07	51.9	50.47	0.325	1.799	2.45	0.95	0.35	350.5	879.4359	0
05/02/2022 02:20	37387	12.66	0	0.003	0	18.49	19.02	17.66	0.335	53.09	56.7	50.91	1.546	1.507	2.45	0	0.813	211.4	879.4851	0
05/02/2022 02:30	37388	12.66	0	0	0	18.17	18.54	17.52	0.246	54.44	56.33	53.5	0.732	0.042	1.7	0	0.202	308	879.4526	0
05/02/2022 02:40	37389	12.66	0	0.003	0	18.52	18.72	18.31	0.077	53.26	54.05	52.82	0.284	0	0	0	0	297.9	879.3956	0
05/02/2022 02:50	37390	12.65	0	0.001	0	18.49	18.72	18.24	0.1	53.49	54.52	52.75	0.46	0	0	0	0	336.6	879.3872	0
05/02/2022 03:00	37391	12.65	0	0	0	18.07	18.41	17.76	0.183	55.25	56.4	54.01	0.722	0.35	1.7	0	0.492	4.984	879.3538	0
05/02/2022 03:10	37392	12.64	0	0.174	0	17.94	18.24	17.66	0.152	55.42	56.57	54.22	0.654	0.878	2.45	0	0.608	344	879.1669	0
05/02/2022 03:20	37393	12.64	0	0.047	0	17.27	17.8	16.98	0.198	57.53	58.34	55.82	0.65	2.264	3.95	0.95	0.486	324.6	879.1583	0
05/02/2022 03:30	37394	12.64	0	0.018	0	17.21	17.52	16.88	0.157	57.6	58.58	56.67	0.578	1.71	3.2	0.95	0.499	343	879.265	0
05/02/2022 03:40	37395	12.63	0	0.052	0	17.11	17.49	16.88	0.156	58.01	58.89	56.64	0.595	2.031	2.45	0.95	0.387	337.8	879.4028	0
05/02/2022 03:50	37396	12.63	0	0.094	0	17.25	17.45	17.08	0.058	57.62	58.03	57.28	0.158	1.865	2.45	0.95	0.374	345	879.478	0
05/02/2022 04:00	37397	12.63	0	0.006	0	16.97	17.25	16.67	0.139	58.65	59.6	57.8	0.505	2.375	3.2	1.7	0.422	334.2	879.763	0
05/02/2022 04:10	37398	12.62	0	0.003	0	16.63	16.81	16.43	0.071	59.81	60.45	59.33	0.267	2.709	3.95	0.95	0.452	337.9	879.577	0
05/02/2022 04:20	37399	12.61	0	0	0	16.29	16.54	15.99	0.144	61.06	62.09	60.25	0.506	2.541	3.2	1.7	0.44	354.3	879.4559	0
05/02/2022 04:30	37400	12.61	0	0.252	0	16.58	16.81	16.16	0.121	59.8	61.17	59.06	0.453	2.908	3.95	1.7	0.393	332	879.4938	0
05/02/2022 04:40	37401	12.61	0	0.026	0	16.51	16.84	16.2	0.139	60.1	61.04	59.06	0.49	2.604	3.2	1.7	0.408	346.3	879.6557	0
05/02/2022 04:50	37402	12.6	0	0.003	0	16.12	16.37	15.86	0.126	61.5	62.4	60.63	0.516	2.299	3.2	1.7	0.395	345.5	879.8267	0
05/02/2022 05:00	37403	12.6	0	0	0	16	16.27	15.83	0.091	62.12	62.57	61.28	0.335	1.661	2.45	0.95	0.468	353.9	879.8176	0
05/02/2022 05:10	37404	12.59	0	0.01	0	16.05	16.3	15.79	0.109	61.88	62.57	61.04	0.433	1.667	2.45	0	0.459	0.387	879.6369	0
05/02/2022 05:20	37405	12.59	0	0.02	0	16.07	16.27	15.83	0.097	62.01	63.26	61.28	0.65	0.824	2.45	0	0.73	177	879.4144	0
05/02/2022 05:30	37406	12.59	0	0	0	15.8	16	15.56	0.096	63.11	63.84	62.54	0.321	0.16	1.7	0	0.365	309.7	880.1576	0
05/02/2022 05:40	37407	12.58	0	0.059	0	15.76	15.96	15.52	0.084	63.12	63.7	62.41	0.371	0.867	1.7	0	0.649	351.9	880.0144	0
05/02/2022 05:50	37408	12.58	0	0.097	0	15.62	15.79	15.39	0.079	63.91	64.38	63.53	0.173	1.022	2.45	0	0.73	329.3	880.1227	0
05/02/2022 06:00	37409	12.58	0	0.254	0	15.58	15.79	15.21	0.123	63.78	65.24	63.02	0.518	1.933	3.2	0.95	0.459	354.5	879.9679	0
05/02/2022 06:10	37410	12.57	0	0	0	14.96	15.28	14.77	0.115	66.19	66.67	65.17	0.317	1.848	2.45	0.95	0.328	354.5	880.3846	0
05/02/2022 06:20	37411	12.57	0	0.084	0	14.84	15.08	14.6	0.115	66.46	67.31	65.58	0.541	1.868	2.45	0.95	0.362	1.404	880.3028	0
05/02/2022 06:30	37412	12.56	0	0.111	0	14.79	15.01	14.53	0.097	66.66	67.55	65.41	0.561	2.278	3.2	0.95	0.395	335.1	880.7775	0
05/02/2022 06:40	37413	12.56	0	0.15	0	14.94	15.11	14.77	0.059	65.49	65.98	64.83	0.25	2.128	3.2	0.95	0.432	342.5	880.8412	0
05/02/2022 06:50	37414	12.56	0	0.217	0	15.23	15.56	14.87	0.134	64.06	65.61	62.88	0.586	1.856	2.45	0.95	0.405	354.5	880.6796	0
05/02/2022 07:00	37415	12.55	0	0.01	0	15.03	15.21	14.87	0.058	64.66	65.1	64.14	0.201	1.663	2.45	0	0.4	351.9	880.982	0
05/02/2022 07:10	37416	12.54	0.665	0.048	0.314	14.86	15.08	14.67	0.065	65.4	66.05	64.52	0.29	1.519	2.45	0	0.439	338.6	881.0956	0
05/02/2022 07:20	37417	12.54	6.425	0.28	5.049	14.8	15.01	14.64	0.065	65.64	66.16	65.17	0.24	1.538	2.45	0	0.425	319.4	881.0872	0
05/02/2022 07:30	37418	12.54	21.85	107.3	13.13	14.95	15.21	14.74	0.11	65.01	65.75	64.21	0.416	1.321	2.45	0	0.457	346.4	881.0472	0
05/02/2022 07:40	37419	12.71	49.55	291.3	21.2	14.91	15.08	14.7	0.079	65.26	65.98	64.66	0.305	1.383	2.45	0	0.472	348.7	881.1616	0
05/02/2022 07:50	37420	13.06	80.1	393.8	28.14	15.13	15.35	14.94	0.094	64.43	65	63.94	0.279	1.392	2.45	0	0.396	2.178	881.2523	0
05/02/2022 08:00	37421	13.31	115.7	477.8	33.88	15.54	15.9	15.18	0.181	63.2	64.28	62.2	0.622	1.48	2.45	0	0.367	0.169	881.2274	0
05/02/2022 08:10	37422	13.43	153	544.1	38.54	16.42	16.99	15.79	0.346	60.76	62.3	59.1	1.029	0.274	1.7	0	0.514	352.7	881.5673	0
05/02/2022 08:20	37423	13.48	191.2	595.3	43.09	17.48	17.87	16.92	0.247	57.21	59.34	55.28	1.089	0.598	2.45	0	0.622	225.6	881.796	0
05/02/2022 08:30	37424	13.45	231.5	643.9	46.35	18.31	18.89	17.76	0.29	54.09	55.79	52.17	0.828	0.509	1.7	0	0.564	166.6	881.5287	0
05/02/2022 08:40	37425	13.42	271.8	675.1	48.36	19.41	19.94	18.72	0.309	51.21	52.92	49.11	0.938	0.896	2.45	0	0.701	199.6	881.598	0
05/02/2022 08:50	37426	13.41	313.5	724	50.86	19.18	19.7	18.99	0.144	51.42	52.24	49.62	0.587	1.373	3.2	0	0.722	244.7	881.9233	0
05/02/2022 09:00	37427	13.39	351.8	748.9	53.13	19.03	19.26	18.82	0.089	51.18	51.93	50.26	0.391	1.276	2.45	0	0.753	170	881.7349	0
05/02/2022 09:10	37428	13.37	387	765.4	55.67	19.69	20.21	19.16	0.263	49.3	50.78	47.91	0.616	1.446	3.95	0	1.176	298.7	881.9646	0
05/02/2022 09:20	37429	13.36	424.7	783	58.59	19.81	20.35	19.29	0.286	48.59	50.74	46.62	1.131	1.773	4.7	0	0.934	160.3	882.209	0
05/02/2022 09:30	37430	13.35	466.8	805	61.22	19.86	20.21	19.64	0.146	48.25	49.34	46.58	0.6	2.63	4.7	0.95	0.699	138.4	882.0702	0
05/02/2022 09:40	37431	13.35	501.6	820	63.05	20.44	20.73	20.04	0.167	46.71	48.63	45.53	0.686	1.784	3.95	0	0.773	240.9	882.3563	0
05/02/2022 09:50	37432	13.34	537.9	827	66.33	19.96	20.28	19.67	0.144	48.64	49.82	47.09	0.56	3.011	5.45	0.95	0.988	151.5	882.3555	0
05/02/2022 10:00	37433	13.33	575.1	846	66.99	20.46	21	19.94	0.273	47.15	49.07	45.49	0.785	2.228	5.45	0	0.973	146.1	882.3915	0
05/02/2022 10:10	37434	13.33	610.9	857	69.05	20.61	20.96	20.38	0.109	45.89	46.85	44.71	0.495	3.407	6.95	0.95	1.102	147.1	882.2864	0
05/02/2022 10:20	37435	13.32	643.5	868	69.79	20.42	20.72	20.08	0.141	46.1	47.16	44.74	0.541	3.416	6.2	0	1.213	98.7	882.0374	0
05/02/2022 10:30	37436	13.32	675.4	881	70.52	20.82	21.34	20.28	0.288	45	46.89	43.41	0.81	2.994	5.45	0	0.952	66.8	882.3162	0
05/02/2022 10:40	37437	13.32	704.9	889	71.82	21.52	21.75	21.23	0.107	43.28	44.81	42.32	0.543	2.68	4.7	0.95	0.803	66.22	882.3827	0
05/02/2022 10:50	37438	13.31	730.2	895	72.51	21.86	22.15	21.34	0.171	42.98	44.09	41.67	0.567	2.49	6.2	0	1.074	67.74	882.1071	0
05/02/2022 11:00	37439	13.31	755.4	903	71.87	21.98	22.22	21.71	0.1	42.47	43.62	41.3	0.5	1.785	4.7	0	1.014	67.99	881.9423	0
05/02/2022 11:10	37440	13.3	779.2	909	72.86	22.03	22.63	21.4	0.299	42.57	44.23	40.89	0.733	2.433	4.7	0	1.159	54.24	881.9584	0
05/02/2022 11:20	37441	13.29	802	916	73.7	22.83	23.24	22.53	0.142	40.75	41.95	39.8	0.481	1.653	3.95	0	0.946	103.5	881.6598	0
05/02/2022 11:30	37442	13.28	818	917	74.52	23.26	23.58	22.94	0.148	39.95	41.06	39.15	0.402	1.179	3.95	0	0.828	89.3	881.5909	0
05/02/2022 11:40	37443	13.27	836	918	75.86	23.16	24.09	22.49	0.497	40.39	41.98	37.96	1.113	1.532	3.95	0	0.929	69.27	881.4619	0
05/02/2022 11:50	37444	13.26	854	924	76.32	24.06	24.4	23.76	0.144	38.23	39.43	37.18	0.465	1.791	4.7	0	1.1	52.94	881.3592	0
05/02/2022 12:00	37445	13.25	867	927	76.87	23.93	24.37	23.55	0.169	38.46	40.11	37.18	0.59	0.778	3.95	0	0.713	69.29	880.9908	0
05/02/2022 12:10	37446	13.24	883	931	78.38	24.11	24.36	23.68	0.139	38.3	39.22	37.51	0.338	2.427	4.7	0	1.197	93.2	881.0715	0
05/02/2022 12:20	37447	13.24	879	919	80.3	24.44	24.87	23.68	0.283	37.79	39.42	36.46	0.691	1.005	3.2	0	0.933	27.36	880.7892	0
05/02/2022 12:30	37448	13.23	888	922	80.7	24.64	25.04	24.29	0.189	37.36	38.6	35.84	0.592	1.036	3.95	0	0.874	56.5	880.5933	0
05/02/2022 12:40	37449	13.22	893	920	82.1	25.13	25.45	24.83	0.132	36.33	37.88	35.23	0.616	1.588	3.95	0	0.937	61.22	880.4971	0
05/02/2022 12:50	37450	13.22	893	920	82.5	25.49	25.89	25.07	0.19	35.43	36.38	34.51	0.375	1.105	3.2	0	0.836	66.61	880.2651	0
05/02/2022 13:00	37451	13.21	896	917	83.4	24.79	25.31	24.35	0.232	36.88	38.09	35.64	0.63	2.311	4.7	0	0.889	116.5	880.1941	0
05/02/2022 13:10	37452	13.2	893	920	83.4	24.96	25.31	24.46	0.2	36.58	38.12	35.46	0.599	1.96	4.7	0	0.931	34.06	879.793	0
05/02/2022 13:20	37453	13.2	894	924	83.7	25.45	25.89	24.93	0.195	35.63	36.96	34.13	0.575	2.731	5.45	0	0.897	75.32	879.3505	0
05/02/2022 13:30	37454	13.2	885	924	82.1	25.6	26.02	25.24	0.158	35.3	36.25	34.17	0.475	1.696	3.95	0	0.869	59.69	879.6377	0
05/02/2022 13:40	37455	13.2	873	923	79.32	26	26.33	25.61	0.182	34.36	35.67	33.32	0.572	1.25	3.2	0	0.742	29.1	879.1661	0
05/02/2022 13:50	37456	13.19	866	922	79.25	26.35	26.91	25.27	0.427	34.17	36.32	32.94	0.865	2.208	5.45	0	1.437	93.3	879.063	0
05/02/2022 14:00	37457	13.19	854	920	78.9	25.62	26.6	25.04	0.483	35.15	36.93	33.15	1.107	0.976	2.45	0	0.769	146.2	878.624	0
05/02/2022 14:10	37458	13.19	842	920	78.21	26.14	27.01	25.51	0.357	34.22	36.11	33.11	0.766	1.402	3.2	0	0.882	78.71	878.8301	0
05/02/2022 14:20	37459	13.18	821	906	77.96	26.81	27.15	26.43	0.149	33.19	33.76	32.5	0.294	2.186	6.95	0	1.158	59.74	878.4621	0
05/02/2022 14:30	37460	13.18	806	904	76.63	26.89	27.62	26.29	0.346	32.95	34.24	31.34	0.623	1.811	4.7	0	1.012	44.62	878.3588	0
05/02/2022 14:40	37461	13.17	784.8	899	74.26	26.79	27.32	26.16	0.347	32.78	34.07	31.72	0.666	1.635	3.95	0	0.769	68.6	878.3704	0
05/02/2022 14:50	37462	13.17	759.5	890	73.26	26.93	27.52	26.33	0.313	32.55	33.96	31.68	0.467	1.809	4.7	0	1.048	46.12	877.9157	0
05/02/2022 15:00	37463	13.17	740.1	888	73.77	27.44	27.83	27.11	0.13	32.32	33.32	31.51	0.309	2.04	4.7	0	0.984	NAN	877.5936	0
05/02/2022 15:10	37464	13.17	715.2	880	74.09	27.21	27.76	26.5	0.366	32.7	33.62	31.34	0.504	1.822	3.95	0	0.9	NAN	877.5518	0
05/02/2022 15:20	37465	13.16	681	859	74.47	27.39	27.83	26.6	0.393	32.46	33.66	31.61	0.591	2.157	5.45	0	0.899	NAN	877.3047	0
05/02/2022 15:30	37466	13.16	654.7	849	75.72	27.56	27.89	27.11	0.189	32.31	32.91	31.44	0.348	1.921	6.2	0	1.117	NAN	877.1351	0
05/02/2022 15:40	37467	13.15	616.6	830	73.63	27.41	27.86	26.87	0.289	32.29	33.49	31.34	0.532	2.114	4.7	0	1.011	NAN	877.1172	0
05/02/2022 15:50	37468	13.15	584.4	826	69.77	27.72	27.93	27.38	0.097	31.7	32.33	31.14	0.277	1.52	3.95	0	1.115	NAN	876.9785	0
05/02/2022 16:00	37469	13.15	558	824	68.38	27.86	28.57	27.14	0.418	31.3	32.43	30.08	0.676	2.008	4.7	0	1.039	NAN	876.8635	0
05/02/2022 16:10	37470	13.15	528	816	67.84	28.27	28.61	27.96	0.146	30.62	31.24	29.91	0.254	2.017	4.7	0	1.012	NAN	876.769	0
05/02/2022 16:20	37471	13.15	488.6	796.3	64.89	28.33	28.64	28.03	0.126	30.73	31.51	30.08	0.301	1.597	3.95	0	1.013	NAN	876.7695	0
05/02/2022 16:30	37472	13.15	450.7	769.1	64.84	28.72	29.02	28.3	0.137	29.84	31.07	28.79	0.576	1.77	4.7	0	1.12	NAN	876.6849	0
05/02/2022 16:40	37473	13.15	406.4	723.7	65.38	28.45	28.88	28.03	0.212	30.4	31.48	29.36	0.317	2.084	4.7	0	1.065	NAN	876.5929	0
05/02/2022 16:50	37474	13.15	366.1	708.4	58.75	28.37	28.88	27.62	0.302	29.74	30.63	28.85	0.325	2.297	4.7	0	1.106	52.53	876.9036	0
05/02/2022 17:00	37475	13.16	322.1	666.6	56.82	27.75	28.17	27.45	0.163	30.37	30.86	29.64	0.239	1.954	3.95	0	0.812	93.3	876.4529	0
05/02/2022 17:10	37476	13.14	281	638.5	53.05	28.07	28.27	27.89	0.075	29.8	30.59	28.99	0.32	1.796	3.95	0	0.954	37.08	876.2836	0
05/02/2022 17:20	37477	13.07	240.1	611.1	47.04	28.17	28.48	27.79	0.126	29.39	29.84	28.89	0.161	1.022	2.45	0	0.71	45.86	876.5208	0
05/02/2022 17:30	37478	12.99	206.2	584.5	42.84	27.69	27.93	27.42	0.132	30.01	30.69	29.47	0.284	1.356	3.95	0	0.935	100.1	876.3225	0
05/02/2022 17:40	37479	12.95	169.3	545	38.23	27.64	27.86	27.42	0.085	30.25	30.87	29.54	0.26	1.274	3.2	0	0.661	82.7	876.2535	0
05/02/2022 17:50	37480	12.91	130.9	483.3	33.1	27.73	28	27.49	0.127	30.07	30.83	29.47	0.242	1.702	3.2	0	0.61	92.2	876.4322	0
05/02/2022 18:00	37481	12.89	93.1	403.3	27.45	27.66	27.93	27.45	0.118	30	30.39	29.6	0.172	1.304	2.45	0	0.689	83.5	876.5947	0
